target_chembl_id,molecule_chembl_id,canonical_smiles,standard_type,assay_type,pchembl_value,RDKit_Molecule,Gasteiger/Marsili Partial Charges,BalabanJ,BertzCT,Ipc,HallKierAlpha,Kappa1 - Kappa3,"Chi0, Chi1",Chi0n - Chi4n,Chi0v - Chi4v,MolLogP,MolMR,MolWt,ExactMolWt,HeavyAtomCount,HeavyAtomMolWt,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAmideBonds,"Num{Aromatic,Saturated,Aliphatic}Rings","Num{Aromatic,Saturated,Aliphatic}{Hetero,Carbo}cycles",RingCount,FractionCSP3,NumSpiroAtoms,NumBridgeheadAtoms,TPSA,LabuteASA,PEOE_VSA1 - PEOE_VSA14,SMR_VSA1 - SMR_VSA10,SlogP_VSA1 - SlogP_VSA12,EState_VSA1 - EState_VSA11,VSA_EState1 - VSA_EState10,MQNs,Topliss fragments,Autocorr2D,BCUT2D
CHEMBL205,CHEMBL333122,O=S(=O)(Cc1ccccc1)NO,Ki,B,6.72,<rdkit.Chem.rdchem.Mol object at 0x145309460>,777,2.7818862209840733,332.92893798348473,485.17479192528987,-0.9100000000000001,777,777,777,777,0.4952000000000001,43.988000000000014,187.22000000000003,187.030314148,12,178.14799999999997,2,4,3,2,5,3,66,777,777,777,1,0.14285714285714285,777,777,66.4,70.85525556159068,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333193,NS(=O)(=O)c1cc2c(s1)S(=O)(=O)CCC2,Ki,B,8.48,<rdkit.Chem.rdchem.Mol object at 0x1453094c0>,777,2.673361481809571,596.179855238709,2238.105054814357,-0.44000000000000017,777,777,777,777,0.11540000000000039,56.06600000000001,267.353,266.96937076800003,15,258.281,2,5,5,1,8,1,84,777,777,777,2,0.42857142857142855,777,777,94.30000000000001,91.88682655078343,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333248,CC(C)C(NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)NO,Ki,B,7.82,<rdkit.Chem.rdchem.Mol object at 0x145309520>,777,6.0960205482687115,602.6875478977786,55295.27826895918,-1.2900000000000003,777,777,777,777,1.8615000000000002,61.5067,414.246,414.029581812,25,403.158,3,6,4,3,16,7,150,777,777,777,0,0.8888888888888888,777,777,95.5,133.91890118068744,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333281,NS(=O)(=O)c1cc2cc(N3CCSCC3)sc2s1,Ki,B,9.36,<rdkit.Chem.rdchem.Mol object at 0x145309580>,777,1.9508935402322036,635.6666853510592,19211.685073337292,-0.28000000000000025,777,777,777,777,2.163400000000001,80.61320000000002,320.486,319.978161624,18,308.39,2,4,6,1,8,2,98,777,777,777,3,0.4,777,777,63.400000000000006,117.83134178110879,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333520,NS(=O)(=O)c1cc2cc(N3CCOCC3)sc2s1,Ki,B,8.96,<rdkit.Chem.rdchem.Mol object at 0x1453095e0>,777,1.9508935402322036,636.1569103467323,19211.685073337292,-0.6700000000000003,777,777,777,777,1.4468000000000008,74.10720000000002,304.41799999999995,304.001005244,18,292.322,2,5,6,1,8,2,98,777,777,777,3,0.4,777,777,72.63000000000001,112.82177698525042,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333532,O=C(O)c1ccccc1S(=O)(=O)NO,Ki,B,9.05,<rdkit.Chem.rdchem.Mol object at 0x145309640>,777,3.4229776990418443,452.9028881148745,1161.894784883838,-1.4400000000000002,777,777,777,777,0.052300000000000124,45.50930000000001,217.20199999999997,217.004493324,14,210.14599999999996,3,6,4,3,7,3,76,777,777,777,1,0.0,777,777,103.7,79.81101141383046,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL333692,CN(CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)C(=N)N,Ki,B,8.22,<rdkit.Chem.rdchem.Mol object at 0x1453096a0>,777,3.03839397393269,671.1083515281098,10022.616063776115,-1.79,777,777,777,777,-2.6184299999999983,67.5723,307.36100000000005,307.0521292760001,19,294.257,5,10,7,3,12,3,106,777,777,777,1,0.42857142857142855,777,777,160.51999999999998,112.45678452059711,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3337907,C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2cccc(C)c2c1=O,Ki,B,8.89,<rdkit.Chem.rdchem.Mol object at 0x145309700>,777,1.7911791477353605,1282.6445880784147,3727694.878838898,-2.9499999999999997,777,777,777,777,2.26912,118.10590000000003,444.53800000000024,444.09259711999994,30,424.37800000000027,3,8,7,2,10,7,156,777,777,777,3,0.15,777,777,124.15,177.4161619584686,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3337908,C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nc2ccc(C)cc2c1=O,Ki,B,8.74,<rdkit.Chem.rdchem.Mol object at 0x145309760>,777,1.7800238302535178,1282.6445880784147,3689407.6204532883,-2.9499999999999997,777,777,777,777,2.26912,118.10590000000003,444.53800000000024,444.09259711999994,30,424.37800000000027,3,8,7,2,10,7,156,777,777,777,3,0.15,777,777,124.15,177.4161619584686,777,777,777,777,777,777,777,777,777
CHEMBL205,CHEMBL3337909,Cc1ccc2nc(SCC(=O)Nc3ccc(S(N)(=O)=O)cc3)n(Cc3ccccc3)c(=O)c2c1,Ki,B,8.77,<rdkit.Chem.rdchem.Mol object at 0x1453097c0>,777,1.5752055415109238,1516.9034243364656,36578301.57204465,-3.469999999999999,777,777,777,777,3.131420000000001,133.45289999999991,494.59800000000024,494.10824718399994,34,472.4220000000003,3,8,7,2,10,7,174,777,777,777,4,0.125,777,777,124.15,200.43297496792363,777,777,777,777,777,777,777,777,777
